Ticker,Name,Price,NWCI,CFOA,D/E,PAT,Dependent variables,,,,,
HMN IS Equity,Emami Ltd,948.5,-606.048,6872086016,1.571063995,4155593728,1,,,,,
3M IS Equity,3M India Ltd,10785,-177.853,1746087040,1.771654963,1132265600,1,,,,,
CCRI IS Equity,Container Corp Of India Ltd,1181.35,624.2,14322799616,2.168634892,7939271680,1,,,,,
EIM IS Equity,Eicher Motors Ltd,19853.0508,-640.1,11001900032,2.206089973,10168151040,1,,,,,
ICRA IS Equity,ICRA Ltd,3585,-148.902,691081024,2.357985973,558769280,1,,,,,
UL IS Equity,Unichem Laboratories Ltd,237.2,6.072,844081984,2.532712936,598470016,1,,,,,
PIDI IS Equity,Pidilite Industries Ltd,602.55,250.87,5473650176,2.567011118,4974474240,1,,,,,
PRJ IS Equity,Praj Industries Ltd,81.9,-583.525,1561054976,2.71133399,421859840,1,,,,,
MSIL IS Equity,Maruti Suzuki India Ltd,3627.1499,-12484,65235001344,2.737981081,33371389952,1,,,,,
KNPL IS Equity,Kansai Nerolac Paints Ltd,274.2,108.4,3150200064,3.185966015,2611338240,1,,,,,
TTAN IS Equity,Titan Co Ltd,343.45,3468.9,4984600064,3.235868931,8276373504,1,,,,,
KEKC IS Equity,Kewal Kiran Clothing Ltd,1805,0,758723008,3.549969912,636075712,1,,,,,
SPADV IS Equity,Sun Pharma Advanced Research Co Ltd,294.55,-573.344,-371232000,3.677355051,-412909568,0,,,,,
MTEL IS Equity,MT Educare Ltd,156.15,80.601,185066000,3.927556992,226746800,1,,,,,
GABR IS Equity,Gabriel India Ltd,88.4,19.56,909420032,4.083469868,621179136,1,,,,,
LOG IS Equity,LA Opala RG Ltd,571.5,-17.448422,461709472,4.241516113,418797344,1,,,,,
NTB IS Equity,Noida Toll Bridge Co Ltd,24.9,151.911619,622563072,4.269211769,803487680,1,,,,,
RMT IS Equity,Ratnamani Metals & Tubes Ltd,432.5,0,1530292992,4.271020889,1639956480,1,,,,,
AMRJ IS Equity,Amara Raja Batteries Ltd,909.75,1387.07,4056649984,4.362279892,3930750464,1,,,-3782.386,-3262190989,7.500385833
AIAE IS Equity,AIA Engineering Ltd,818.4,1231.496,3286170112,4.716115952,3745682944,1,,,,,
BHEL IS Equity,Bharat Heavy Electricals Ltd,104.75,-6826.1,16395899904,5.515623093,20056455168,1,,,,,
TECHM IS Equity,Tech Mahindra Ltd,470,13080,0,5.668331146,25498462208,1,,,,,
SSOF IS Equity,Sonata Software Ltd,165.2,2051.133207,855244352,5.700977802,1192198400,1,,,,,
VOLT IS Equity,Voltas Ltd,238.95,-1127.568,3266624000,5.762740135,3194500608,1,,,,,
LPC IS Equity,Lupin Ltd,1818.1,-5702.8,27946999808,6.036303997,23840589824,1,,,,,
IGL IS Equity,Indraprastha Gas Ltd,541.45,-456,6651200000,6.925691128,4347557888,1,,,,,
DBCL IS Equity,DB Corp Ltd,328,-365.440391,0,7.386825085,2789420480,1,,,,,
GALK IS Equity,Gujarat Alkalies & Chemicals Ltd,163.5,0,3110242048,7.561533928,2033801216,1,,,,,
CYL IS Equity,Cyient Ltd,413.15,481.729422,4035524352,7.938753128,2594149376,1,,,,,
TRENT IS Equity,Trent Ltd,1455.2,-2284.6,6800000,8.202589989,12196912,1,,,,,
ATFL IS Equity,Agro Tech Foods Ltd,482.4,63.08,397329984,8.242031097,389791136,1,,,,,
AJP IS Equity,Ajanta Pharma Ltd,1444,774.1,2734000128,8.605500221,3082767616,1,,,,,
APNT IS Equity,Asian Paints Ltd,890.85,3808.1,12347799552,8.780410767,13763408896,1,,,,,
FNXC IS Equity,Finolex Cables Ltd,232.2,133.5,2030300032,10.01976585,1493629184,1,,,,,
VIP IS Equity,VIP Industries Ltd,97.3,493.3,132500000,10.1488142,433629696,1,,,,,
TDPS IS Equity,TD Power Systems Ltd,219.05,-388.112929,614340224,11.60865688,173122448,1,,,,,
BRIT IS Equity,Britannia Industries Ltd,2823.55,-237.1,6113399808,11.62848473,5144479232,1,,,,,
GEO IS Equity,Geometric Ltd,177.15,1181.568013,575866944,11.69171333,660422720,1,,,,,
JBCP IS Equity,JB Chemicals & Pharmaceuticals Ltd,274.55,-1102.792,1239379968,12.80240059,1760497920,1,,,,,
PI IS Equity,PI Industries Ltd,558.35,755.025,1953548032,12.80530357,2287836672,1,,,,,
MUNI IS Equity,Mayur Uniquoters Ltd,400,0,571612032,13.18577766,625256128,1,,,,,
CUBK IS Equity,City Union Bank Ltd,86.55,0,5826580992,14.08212471,5408075776,1,,,,,
TV18 IS Equity,TV18 Broadcast Ltd,39.85,2274.824,-1408300032,14.44093418,1389572224,1,,,,,
GDPL IS Equity,Gateway Distriparks Ltd,264.5,131.146393,2206816256,14.61715794,1953056256,1,,,,,
VO IS Equity,Vinati Organics Ltd,405.5,78.309,1110162944,15.04343891,1164134912,1,,,,,
ZENT IS Equity,Zensar Technologies Ltd,868,1000.689,3131579904,15.15926075,2532911104,1,,,,,
BHIN IS Equity,Bharti Infratel Ltd,379.1,-5023,37511999488,15.17156315,18564456448,1,,,,,
RALI IS Equity,Rallis India Ltd,153.8,1468.182,593524992,15.19499588,1631296512,1,,,,,
CIPLA IS Equity,Cipla Ltd/India,534.6,5919.9,10383500288,15.51024055,12653576192,1,,,,,
EIH IS Equity,EIH Ltd,105.15,64.36,2948430080,15.55648232,1037649408,1,,,,,
APTY IS Equity,Apollo Tyres Ltd,169.25,1596.55,12245489664,15.87718868,11347130368,1,,,,,
KPIT IS Equity,KPIT Technologies Ltd,144.2,-76.960002,0,15.96821785,2323617504,1,,,,,
THEAL IS Equity,Tree House Education and Accessories Ltd,75.4,-37.222738,484975040,16.41337585,682552576,1,,,,,
GSFC IS Equity,Gujarat State Fertilizers & Chemicals Lt,65.5,0,2766746880,16.52148819,3850003456,1,,,,,
FTECH IS Equity,Financial Technologies India Ltd,79.65,0,-652192000,16.7448082,-2441999104,0,,,,,
MHRL IS Equity,Mahindra Holidays & Resorts India Ltd,382,-280.941628,2017165056,17.06378365,871508032,1,,,,,
SRCM IS Equity,Shree Cement Ltd,11224.9502,2252.2,11982799872,17.37274742,4497726976,1,,,,,
HTML IS Equity,HT Media Ltd,82.75,-1760.465,4268719104,17.62115288,1699876352,1,,,,,
